Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-06-15,2016,6,15,Wednesday,24,2016-24,32.81,33.18,32.57,32.92,913000,32.92,0.0027412833649462787,31.07357142857143,27.287
2016-06-16,2016,6,16,Thursday,24,2016-24,32.65,33.47,32.65,33.28,1359100,33.28,0.010935620606782548,31.395,27.498799999999996
2016-06-17,2016,6,17,Friday,24,2016-24,33.28,34.75,33.18,34.16,1648900,34.16,0.026442340757015792,31.750714285714285,27.744
2016-06-20,2016,6,20,Monday,25,2016-25,34.5,35.2,34.42,35.04,1298300,35.04,0.025761155504861577,32.165,28.003399999999996
2016-06-21,2016,6,21,Tuesday,25,2016-25,34.92,35.49,34.61,34.93,861400,34.93,-0.0031392867430781735,32.595,28.281
2016-06-22,2016,6,22,Wednesday,25,2016-25,34.89,35.43,34.22,34.73,644900,34.73,-0.005725758980592355,32.957857142857144,28.5438
2016-06-23,2016,6,23,Thursday,25,2016-25,35.01,35.65,34.81,35.5,661400,35.5,0.022171047161323676,33.369285714285716,28.8032
2016-06-24,2016,6,24,Friday,25,2016-25,34.2,34.97,34.0,34.52,1458500,34.52,-0.02760562090806562,33.63642857142857,29.0412
2016-06-27,2016,6,27,Monday,26,2016-26,34.3,34.45,32.85,33.01,641000,33.01,-0.04374281912533595,33.68,29.242399999999996
2016-06-28,2016,6,28,Tuesday,26,2016-26,33.5,34.44,33.35,34.1,766300,34.1,0.03302030318119886,33.769999999999996,29.467999999999996
2016-06-29,2016,6,29,Wednesday,26,2016-26,34.32,35.57,34.16,35.36,888000,35.36,0.03695021092703854,33.96142857142857,29.711399999999998
2016-06-30,2016,6,30,Thursday,26,2016-26,35.22,36.65,35.22,36.65,1151700,36.65,0.0364819257143818,34.260714285714286,29.96
2016-07-01,2016,7,1,Friday,26,2016-26,36.65,36.86,35.81,36.18,773100,36.18,-0.012824043687181153,34.515,30.1936
2016-07-05,2016,7,5,Tuesday,27,2016-27,36.12,36.23,35.3,35.69,887000,35.69,-0.013543440418288144,34.71928571428571,30.394000000000002
2016-07-06,2016,7,6,Wednesday,27,2016-27,35.41,36.13,35.18,35.87,369400,35.87,0.00504343827688114,34.93,30.599800000000002
2016-07-07,2016,7,7,Thursday,27,2016-27,36.01,36.55,35.66,36.25,637000,36.25,0.010593841076963484,35.14214285714286,30.808399999999995
2016-07-08,2016,7,8,Friday,27,2016-27,36.64,36.9,36.5,36.86,523800,36.86,0.01682760304418096,35.335,31.0352
2016-07-11,2016,7,11,Monday,28,2016-28,36.79,37.5,36.69,37.13,405200,37.13,0.007325025862529255,35.48428571428571,31.277199999999997
2016-07-12,2016,7,12,Tuesday,28,2016-28,37.26,37.8,37.25,37.3,563300,37.3,0.004578458498653237,35.65357142857143,31.522800000000004
