Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-04-16,2018,4,16,Monday,15,2018-15,267.0,268.2,266.07,267.33,63405300,245.49,0.008221766157221033,241.32214285714284,245.8608
2018-04-17,2018,4,17,Tuesday,15,2018-15,269.33,270.87,268.75,270.19,64682000,248.12,0.010698528648521943,241.95142857142858,245.78439999999998
2018-04-18,2018,4,18,Wednesday,15,2018-15,270.69,271.3,269.87,270.39,57303900,248.3,0.0007403172220552534,242.6442857142857,245.9224
2018-04-19,2018,4,19,Thursday,15,2018-15,269.65,269.88,267.72,268.89,77655900,246.92,-0.00554771860857195,243.0207142857143,245.93760000000003
2018-04-20,2018,4,20,Friday,15,2018-15,268.81,269.06,265.61,266.61,99953100,244.83,-0.008479480649267512,243.61999999999998,245.93780000000004
2018-04-23,2018,4,23,Monday,16,2018-16,267.26,267.89,265.35,266.57,65558000,244.79,-0.00014957799373649383,244.0,246.12079999999997
2018-04-24,2018,4,24,Tuesday,16,2018-16,267.73,267.98,261.28,262.98,112885500,241.5,-0.013467773368653124,243.96214285714285,246.1672
2018-04-25,2018,4,25,Wednesday,16,2018-16,262.91,264.13,260.85,263.63,103840900,242.09,0.0024717753520147046,243.82999999999998,246.1552
2018-04-26,2018,4,26,Thursday,16,2018-16,264.79,267.25,264.29,266.31,67731900,244.55,0.010165890773494501,244.26214285714286,246.18039999999996
2018-04-27,2018,4,27,Friday,16,2018-16,267.0,267.34,265.5,266.56,57053600,244.78,0.0009385982771297208,244.62642857142856,246.1444
2018-04-30,2018,4,30,Monday,17,2018-17,267.26,267.89,264.43,264.51,82182300,242.9,-0.007690560370584132,244.5842857142857,246.00799999999998
2018-05-01,2018,5,1,Tuesday,17,2018-17,263.87,265.1,262.11,264.98,74203400,243.33,0.0017767714459686612,244.66428571428574,245.8786
