Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-05-30,2018,5,30,Wednesday,21,2018-21,55.26,58.2,55.09,57.38,736400,57.38,0.04727140188555623,53.792857142857144,52.3838
2018-05-31,2018,5,31,Thursday,21,2018-21,58.37,59.14,57.57,58.24,726000,58.24,0.014987810985410466,54.050000000000004,52.4006
2018-06-01,2018,6,1,Friday,21,2018-21,58.24,59.62,58.24,59.02,404400,59.02,0.013392835797002789,54.39071428571429,52.437
2018-06-04,2018,6,4,Monday,22,2018-22,59.39,59.92,58.58,59.31,394200,59.31,0.004913604088073065,54.77428571428572,52.5106
2018-06-05,2018,6,5,Tuesday,22,2018-22,59.47,61.42,59.37,60.83,773100,60.83,0.025628063101818865,55.434999999999995,52.63980000000001
2018-06-06,2018,6,6,Wednesday,22,2018-22,61.0,62.2,61.0,62.0,525700,62.0,0.019233899946194066,56.09428571428571,52.7622
2018-06-07,2018,6,7,Thursday,22,2018-22,62.31,62.39,60.18,61.2,473800,61.2,-0.012903213500976562,56.745000000000005,52.9094
2018-06-08,2018,6,8,Friday,22,2018-22,60.27,62.39,60.27,62.17,387700,62.17,0.015849630619502397,57.49571428571428,53.0846
2018-06-11,2018,6,11,Monday,23,2018-23,62.56,63.07,61.98,62.35,308400,62.35,0.0028952921099760776,58.24785714285714,53.251599999999996
2018-06-12,2018,6,12,Tuesday,23,2018-23,62.47,64.82,62.47,64.21,484600,64.21,0.0298316063491737,59.14214285714286,53.475
2018-06-13,2018,6,13,Wednesday,23,2018-23,64.26,65.28,63.59,63.92,449900,63.92,-0.004516444785271356,59.81285714285714,53.6848
2018-06-14,2018,6,14,Thursday,23,2018-23,64.04,65.0,62.84,64.79,418400,64.79,0.013610806813269205,60.449285714285715,53.9112
2018-06-15,2018,6,15,Friday,23,2018-23,64.47,65.42,64.03,65.21,593000,65.21,0.006482453511505559,61.10142857142857,54.156000000000006
2018-06-18,2018,6,18,Monday,24,2018-24,63.17,64.52,62.1,64.32,618200,64.32,-0.013648204296024202,61.78214285714286,54.389399999999995
2018-06-19,2018,6,19,Tuesday,24,2018-24,63.32,64.56,62.26,62.93,579900,62.93,-0.021610687130651396,62.17857142857143,54.6086
2018-06-20,2018,6,20,Wednesday,24,2018-24,63.55,64.55,63.54,64.32,241400,64.32,0.022088024517840532,62.61285714285714,54.8204
2018-06-21,2018,6,21,Thursday,24,2018-24,64.56,64.62,61.57,61.71,397900,61.71,-0.04057836789078195,62.805,54.986399999999996
2018-06-22,2018,6,22,Friday,24,2018-24,62.12,62.22,60.43,61.49,519600,61.49,-0.0035650204062507296,62.96071428571428,55.1408
2018-06-25,2018,6,25,Monday,25,2018-25,61.53,61.99,59.36,60.6,363600,60.6,-0.014473949911394723,62.94428571428572,55.356
2018-06-26,2018,6,26,Tuesday,25,2018-25,60.85,61.4,60.03,60.82,384000,60.82,0.003630383271330917,62.86,55.591800000000006
2018-06-27,2018,6,27,Wednesday,25,2018-25,60.64,61.8,60.4,60.75,774600,60.75,-0.0011509321798003347,62.827857142857134,55.819
2018-06-28,2018,6,28,Thursday,25,2018-25,57.44,59.49,57.42,59.06,2191300,59.06,-0.02781890743553883,62.605714285714285,56.0312
2018-06-29,2018,6,29,Friday,25,2018-25,59.25,59.78,57.5,59.75,1757600,59.75,0.011683010678374739,62.42,56.2966
2018-07-02,2018,7,2,Monday,26,2018-26,59.04,61.34,58.82,61.1,746100,61.1,0.02259411672169187,62.19785714285714,56.5846
2018-07-03,2018,7,3,Tuesday,26,2018-26,61.46,61.76,60.49,61.0,396600,61.0,-0.0016366362785336097,61.989285714285714,56.8508
2018-07-05,2018,7,5,Thursday,26,2018-26,61.5,61.91,60.52,61.72,464500,61.72,0.011803298700051146,61.769999999999996,57.1352
2018-07-06,2018,7,6,Friday,26,2018-26,61.52,63.09,61.27,63.01,212900,63.01,0.020900795128263372,61.612857142857145,57.4486
2018-07-09,2018,7,9,Monday,27,2018-27,63.56,63.56,61.45,62.41,295800,62.41,-0.009522274085127957,61.47642857142857,57.751599999999996
